canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Dharwad,09,2017,7,CrPC,704,139.2,0.9488,"Jul 2017: 704 Crpc in Dharwad vs ~139 expected (5.1x, z=5.8) - spike."
Mysuru,26,2018,4,CrPC,1738,384.6,0.942,"Apr 2018: 1,738 Crpc in Mysuru vs ~385 expected (4.5x, z=6.3) - spike."
Uttara Kannada,10,2017,12,RIOTS,69,14.8,0.942,"Dec 2017: 69 Riots in Uttara Kannada vs ~15 expected (4.7x, z=7.5) - spike."
Dharwad,09,2021,5,Karnataka State Local Act,136,28.8,0.9396,"May 2021: 136 Karnataka State Local Act in Dharwad vs ~29 expected (4.7x, z=5.1) - spike."
Ramanagara,29,2022,2,Karnataka State Local Act,197,43.6,0.9396,"Feb 2022: 197 Karnataka State Local Act in Ramanagara vs ~44 expected (4.5x, z=5.6) - spike."
Tumakuru,18,2017,10,Karnataka State Local Act,255,57.8,0.9396,"Oct 2017: 255 Karnataka State Local Act in Tumakuru vs ~58 expected (4.4x, z=5.2) - spike."
Haveri,11,2016,2,Karnataka State Local Act,77,18.0,0.9334,"Feb 2016: 77 Karnataka State Local Act in Haveri vs ~18 expected (4.3x, z=5.7) - spike."
Dharwad,09,2021,6,Karnataka State Local Act,128,29.6,0.9322,"Jun 2021: 128 Karnataka State Local Act in Dharwad vs ~30 expected (4.3x, z=4.6) - spike."
Hassan,23,2018,4,Karnataka State Local Act,309,75.5,0.9309,"Apr 2018: 309 Karnataka State Local Act in Hassan vs ~76 expected (4.1x, z=6.7) - spike."
Hassan,23,2020,4,KARNATAKA POLICE ACT 1963,100,25.0,0.9291,"Apr 2020: 100 Karnataka Police Act 1963 in Hassan vs ~25 expected (4.0x, z=5.8) - spike."
Dakshina Kannada,24,2021,5,Karnataka State Local Act,114,27.5,0.9285,"May 2021: 114 Karnataka State Local Act in Dakshina Kannada vs ~28 expected (4.1x, z=5.4) - spike."
Bengaluru Urban,20,2016,8,PUBLIC SAFETY,2479,526.4,0.926,"Aug 2016: 2,479 Public Safety in Bengaluru Urban vs ~526 expected (4.7x, z=4.4) - spike."
Raichur,06,2017,7,CrPC,897,188.4,0.9217,"Jul 2017: 897 Crpc in Raichur vs ~188 expected (4.8x, z=4.2) - spike."
Gadag,08,2017,10,Karnataka State Local Act,113,30.0,0.9217,"Oct 2017: 113 Karnataka State Local Act in Gadag vs ~30 expected (3.8x, z=4.8) - spike."
Kolar,19,2021,5,Karnataka State Local Act,91,24.4,0.9211,"May 2021: 91 Karnataka State Local Act in Kolar vs ~24 expected (3.7x, z=5.0) - spike."
Dharwad,09,2016,11,CHEATING,54,15.4,0.9175,"Nov 2016: 54 Cheating in Dharwad vs ~15 expected (3.5x, z=5.9) - spike."
Ramanagara,29,2020,4,KARNATAKA POLICE ACT 1963,85,24.2,0.915,"Apr 2020: 85 Karnataka Police Act 1963 in Ramanagara vs ~24 expected (3.5x, z=5.5) - spike."
Davanagere,14,2021,5,Karnataka State Local Act,115,33.5,0.915,"May 2021: 115 Karnataka State Local Act in Davanagere vs ~34 expected (3.4x, z=5.5) - spike."
Uttara Kannada,10,2022,5,Karnataka State Local Act,73,20.6,0.9126,"May 2022: 73 Karnataka State Local Act in Uttara Kannada vs ~21 expected (3.5x, z=4.9) - spike."
Raichur,06,2023,6,THEFT,106,29.6,0.9102,"Jun 2023: 106 Theft in Raichur vs ~30 expected (3.6x, z=4.6) - spike."
Kalaburagi,04,2023,3,Karnataka State Local Act,143,45.0,0.9089,"Mar 2023: 143 Karnataka State Local Act in Kalaburagi vs ~45 expected (3.2x, z=5.1) - spike."
Shivamogga,15,2018,2,CrPC,2244,646.0,0.9077,"Feb 2018: 2,244 Crpc in Shivamogga vs ~646 expected (3.5x, z=4.5) - spike."
Dakshina Kannada,24,2023,12,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,150,37.5,0.9035,"Dec 2023: 150 Narcotic Drugs & Pshycotropic Substances in Dakshina Kannada vs ~38 expected (4.0x, z=4.0) - spike."
Kolar,19,2018,2,CrPC,929,275.2,0.9023,"Feb 2018: 929 Crpc in Kolar vs ~275 expected (3.4x, z=4.3) - spike."
Belagavi,01,2018,2,CrPC,1271,358.0,0.9011,"Feb 2018: 1,271 Crpc in Belagavi vs ~358 expected (3.6x, z=4.2) - spike."
Tumakuru,18,2021,5,Karnataka State Local Act,243,73.5,0.9005,"May 2021: 243 Karnataka State Local Act in Tumakuru vs ~74 expected (3.3x, z=4.5) - spike."
Hassan,23,2018,4,CrPC,1556,470.8,0.9005,"Apr 2018: 1,556 Crpc in Hassan vs ~471 expected (3.3x, z=4.4) - spike."
Gadag,08,2019,11,Karnataka State Local Act,99,27.5,0.8999,"Nov 2019: 99 Karnataka State Local Act in Gadag vs ~28 expected (3.6x, z=4.2) - spike."
Mandya,22,2018,4,Karnataka State Local Act,215,61.1,0.8987,"Apr 2018: 215 Karnataka State Local Act in Mandya vs ~61 expected (3.5x, z=4.2) - spike."
Bengaluru Urban,20,2017,7,NEGLIGENT ACT,1104,188.0,0.8966,"Jul 2017: 1,104 Negligent Act in Bengaluru Urban vs ~188 expected (5.9x, z=3.5) - spike."
Gadag,08,2017,2,THEFT,69,20.6,0.895,"Feb 2017: 69 Theft in Gadag vs ~21 expected (3.3x, z=4.2) - spike."
Chikkaballapura,28,2019,8,Karnataka State Local Act,265,60.6,0.895,"Aug 2019: 265 Karnataka State Local Act in Chikkaballapura vs ~61 expected (4.4x, z=3.6) - spike."
Udupi,16,2018,1,KARNATAKA POLICE ACT 1963,84,21.8,0.8944,"Jan 2018: 84 Karnataka Police Act 1963 in Udupi vs ~22 expected (3.9x, z=3.8) - spike."
Koppal,07,2018,3,Karnataka State Local Act,109,34.6,0.8944,"Mar 2018: 109 Karnataka State Local Act in Koppal vs ~35 expected (3.2x, z=4.3) - spike."
Uttara Kannada,10,2017,5,CrPC,590,135.8,0.8943,"May 2017: 590 Crpc in Uttara Kannada vs ~136 expected (4.3x, z=3.6) - spike."
Udupi,16,2023,9,CHEATING,32,10.0,0.8938,"Sep 2023: 32 Cheating in Udupi vs ~10 expected (3.2x, z=4.9) - spike."
Ramanagara,29,2020,10,CHEATING,43,13.9,0.8872,"Oct 2020: 43 Cheating in Ramanagara vs ~14 expected (3.1x, z=5.0) - spike."
Bengaluru Urban,20,2023,6,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,1015,277.0,0.8866,"Jun 2023: 1,015 Narcotic Drugs & Pshycotropic Substances in Bengaluru Urban vs ~277 expected (3.7x, z=3.8) - spike."
Dharwad,09,2023,11,KARNATAKA POLICE ACT 1963,236,84.0,0.886,"Nov 2023: 236 Karnataka Police Act 1963 in Dharwad vs ~84 expected (2.8x, z=5.9) - spike."
Bidar,05,2021,5,Karnataka State Local Act,100,30.9,0.8842,"May 2021: 100 Karnataka State Local Act in Bidar vs ~31 expected (3.2x, z=3.9) - spike."
Koppal,07,2016,12,RIOTS,27,8.2,0.8836,"Dec 2016: 27 Riots in Koppal vs ~8 expected (3.3x, z=4.2) - spike."
Kolar,19,2023,4,KARNATAKA POLICE ACT 1963,45,15.1,0.883,"Apr 2023: 45 Karnataka Police Act 1963 in Kolar vs ~15 expected (3.0x, z=4.6) - spike."
Udupi,16,2017,8,KARNATAKA POLICE ACT 1963,98,31.2,0.8824,"Aug 2017: 98 Karnataka Police Act 1963 in Udupi vs ~31 expected (3.1x, z=4.1) - spike."
Mandya,22,2018,4,CrPC,1049,283.0,0.8824,"Apr 2018: 1,049 Crpc in Mandya vs ~283 expected (3.7x, z=3.6) - spike."
Bagalkote,02,2017,1,Karnataka State Local Act,79,21.1,0.8794,"Jan 2017: 79 Karnataka State Local Act in Bagalkote vs ~21 expected (3.7x, z=3.6) - spike."
Chikkaballapura,28,2022,5,Karnataka State Local Act,286,82.8,0.8644,"May 2022: 286 Karnataka State Local Act in Chikkaballapura vs ~83 expected (3.5x, z=3.6) - spike."
Dharwad,09,2023,8,CYBER CRIME,60,13.5,0.8625,"Aug 2023: 60 Cyber Crime in Dharwad vs ~14 expected (4.4x, z=3.2) - spike."
Chikkaballapura,28,2019,7,Karnataka State Local Act,258,67.6,0.8621,"Jul 2019: 258 Karnataka State Local Act in Chikkaballapura vs ~68 expected (3.8x, z=3.4) - spike."
Kodagu,25,2023,4,Karnataka State Local Act,42,14.4,0.8604,"Apr 2023: 42 Karnataka State Local Act in Kodagu vs ~14 expected (2.9x, z=4.1) - spike."
Shivamogga,15,2017,11,KARNATAKA POLICE ACT 1963,150,54.6,0.8604,"Nov 2017: 150 Karnataka Police Act 1963 in Shivamogga vs ~55 expected (2.7x, z=4.3) - spike."
Tumakuru,18,2018,2,CrPC,690,243.8,0.8598,"Feb 2018: 690 Crpc in Tumakuru vs ~244 expected (2.8x, z=4.0) - spike."
Bengaluru Urban,20,2016,3,PUBLIC SAFETY,1985,523.1,0.8589,"Mar 2016: 1,985 Public Safety in Bengaluru Urban vs ~523 expected (3.8x, z=3.3) - spike."
Mandya,22,2021,4,KARNATAKA POLICE ACT 1963,130,48.2,0.8588,"Apr 2021: 130 Karnataka Police Act 1963 in Mandya vs ~48 expected (2.7x, z=5.2) - spike."
Vijayapura,03,2020,9,Karnataka State Local Act,117,41.0,0.8587,"Sep 2020: 117 Karnataka State Local Act in Vijayapura vs ~41 expected (2.9x, z=4.0) - spike."
Bengaluru Rural,21,2016,8,Karnataka State Local Act,92,26.5,0.8556,"Aug 2016: 92 Karnataka State Local Act in Bengaluru Rural vs ~26 expected (3.5x, z=3.5) - spike."
Chitradurga,13,2021,5,PUBLIC SAFETY,519,189.0,0.8528,"May 2021: 519 Public Safety in Chitradurga vs ~189 expected (2.7x, z=4.1) - spike."
Bengaluru Urban,20,2023,4,PUBLIC SAFETY,1870,462.9,0.852,"Apr 2023: 1,870 Public Safety in Bengaluru Urban vs ~463 expected (4.0x, z=3.2) - spike."
Mysuru,26,2020,4,KARNATAKA POLICE ACT 1963,118,44.4,0.8506,"Apr 2020: 118 Karnataka Police Act 1963 in Mysuru vs ~44 expected (2.7x, z=4.7) - spike."
Chikkaballapura,28,2019,9,Karnataka State Local Act,249,67.4,0.8489,"Sep 2019: 249 Karnataka State Local Act in Chikkaballapura vs ~67 expected (3.7x, z=3.2) - spike."
Chikkamagaluru,17,2021,5,Karnataka State Local Act,140,53.5,0.8488,"May 2021: 140 Karnataka State Local Act in Chikkamagaluru vs ~54 expected (2.6x, z=4.6) - spike."
Haveri,11,2017,6,CrPC,1075,374.3,0.8469,"Jun 2017: 1,075 Crpc in Haveri vs ~374 expected (2.9x, z=3.8) - spike."
Chikkaballapura,28,2018,3,CrPC,778,230.8,0.8448,"Mar 2018: 778 Crpc in Chikkaballapura vs ~231 expected (3.4x, z=3.3) - spike."
Ballari,12,2018,12,CHEATING,25,8.8,0.8447,"Dec 2018: 25 Cheating in Ballari vs ~9 expected (2.9x, z=4.3) - spike."
Kodagu,25,2020,1,POCSO,18,6.1,0.8441,"Jan 2020: 18 Pocso in Kodagu vs ~6 expected (2.9x, z=4.4) - spike."
Belagavi,01,2018,3,CrPC,768,148.2,0.8423,"Mar 2018: 768 Crpc in Belagavi vs ~148 expected (5.2x, z=2.8) - spike."
Ramanagara,29,2021,4,CHEATING,39,14.3,0.8394,"Apr 2021: 39 Cheating in Ramanagara vs ~14 expected (2.7x, z=4.3) - spike."
Dakshina Kannada,24,2021,2,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,133,40.5,0.8365,"Feb 2021: 133 Narcotic Drugs & Pshycotropic Substances in Dakshina Kannada vs ~40 expected (3.3x, z=3.3) - spike."
Shivamogga,15,2018,2,Karnataka State Local Act,144,47.4,0.8338,"Feb 2018: 144 Karnataka State Local Act in Shivamogga vs ~47 expected (3.0x, z=3.5) - spike."
Koppal,07,2018,4,KARNATAKA POLICE ACT 1963,125,43.0,0.8338,"Apr 2018: 125 Karnataka Police Act 1963 in Koppal vs ~43 expected (2.9x, z=3.6) - spike."
Vijayanagara,31,2018,3,CrPC,396,117.5,0.8325,"Mar 2018: 396 Crpc in Vijayanagara vs ~118 expected (3.4x, z=3.2) - spike."
Bengaluru Urban,20,2017,8,NEGLIGENT ACT,885,174.4,0.8314,"Aug 2017: 885 Negligent Act in Bengaluru Urban vs ~174 expected (5.1x, z=2.7) - spike."
